|    a     |    b     |   out    |
| 00000000 | 00000000 | 00000000 |
| 00000000 | 11111111 | 11111110 |
| 11111111 | 11111111 | 11111111 |
| 10101010 | 01010101 | 11111110 |
| 00111100 | 00001111 | 00111110 |
| 00010010 | 10011000 | 10011010 |
| 00100111 | 00101111 | 00101111 |
| 00100010 | 00111111 | 00111110 |
| 01111111 | 00100000 | 01111111 |
| 00000110 | 00000010 | 00000110 |
| 00000100 | 00000001 | 00000100 |
| 00000011 | 00000000 | 00000011 |
| 01111000 | 01110110 | 01111110 |
| 01010101 | 00011000 | 01011101 |
| 00000111 | 00011110 | 00011111 |
